Matt 1:5 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:5 N- ----GSF- Ῥούθ, Ῥούθ Ῥούθ Ῥούθ
Matt 1:5 N- ----NSM- Ἰωβὴδ⸃ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
Matt 1:5 C- -------- δὲ δὲ δέ δέ
Matt 1:5 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:5 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:5 N- ----ASM- Ἰεσσαί, Ἰεσσαί Ἰεσσαί Ἰεσσαί
Matt 1:6 N- ----NSM- Ἰεσσαὶ Ἰεσσαὶ Ἰεσσαί Ἰεσσαί
Matt 1:6 C- -------- δὲ δὲ δέ δέ
Matt 1:6 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- βασιλέα. βασιλέα βασιλέα βασιλεύς
Matt 1:6 N- ----NSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:6 C- -------- ⸀δὲ δὲ δέ δέ
Matt 1:6 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- Σολομῶνα Σολομῶνα Σολομῶνα Σολομών
Matt 1:6 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:6 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:6 RA ----GSM- τοῦ τοῦ τοῦ ὁ
Matt 1:6 N- ----GSM- Οὐρίου, Οὐρίου Οὐρίου Οὐρίας
Matt 1:7 N- ----NSM- Σολομὼν Σολομὼν Σολομών Σολομών
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- Ῥοβοάμ, Ῥοβοάμ Ῥοβοάμ Ῥοβοάμ
Matt 1:7 N- ----NSM- Ῥοβοὰμ Ῥοβοὰμ Ῥοβοάμ Ῥοβοάμ
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- Ἀβιά, Ἀβιά Ἀβιά Ἀβιά
Matt 1:7 N- ----NSM- Ἀβιὰ Ἀβιὰ Ἀβιά Ἀβιά
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- ⸂Ἀσάφ, Ἀσάφ Ἀσάφ Ἀσάφ
Matt 1:8 N- ----NSM- Ἀσὰφ⸃ Ἀσὰφ Ἀσάφ Ἀσάφ
Matt 1:8 C- -------- δὲ δὲ δέ δέ
Matt 1:8 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:8 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:8 N- ----ASM- Ἰωσαφάτ, Ἰωσαφάτ Ἰωσαφάτ Ἰωσαφάτ
Matt 1:8 N- ----NSM- Ἰωσαφὰτ Ἰωσαφὰτ Ἰωσαφάτ Ἰωσαφάτ
Matt 1:8 C- -------- δὲ δὲ δέ δέ
Matt 1:8 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:8 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:8 N- ----ASM- Ἰωράμ, Ἰωράμ Ἰωράμ Ἰωράμ
Matt 1:8 N- ----NSM- Ἰωρὰμ Ἰωρὰμ Ἰωράμ Ἰωράμ
Matt 1:8 C- -------- δὲ δὲ δέ δέ
Matt 1:8 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:8 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:8 N- ----ASM- Ὀζίαν, Ὀζίαν Ὀζίαν Ὀζίας
Matt 1:9 N- ----NSM- Ὀζίας Ὀζίας Ὀζίας Ὀζίας
Matt 1:9 C- -------- δὲ δὲ δέ δέ
Matt 1:9 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:9 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:9 N- ----ASM- Ἰωαθάμ, Ἰωαθάμ Ἰωαθάμ Ἰωαθάμ
Matt 1:9 N- ----NSM- Ἰωαθὰμ Ἰωαθὰμ Ἰωαθάμ Ἰωαθάμ
Matt 1:9 C- -------- δὲ δὲ δέ δέ
Matt 1:9 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:9 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:9 N- ----ASM- Ἀχάζ, Ἀχάζ Ἀχάζ Ἀχάζ
Matt 1:9 N- ----NSM- Ἀχὰζ Ἀχὰζ Ἀχάζ Ἀχάζ
Matt 1:9 C- -------- δὲ δὲ δέ δέ
Matt 1:9 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:9 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:9 N- ----ASM- Ἑζεκίαν, Ἑζεκίαν Ἑζεκίαν Ἑζεκίας
Matt 1:10 N- ----NSM- Ἑζεκίας Ἑζεκίας Ἑζεκίας Ἑζεκίας
Matt 1:10 C- -------- δὲ δὲ δέ δέ
Matt 1:10 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:10 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:10 N- ----ASM- Μανασσῆ, Μανασσῆ Μανασσῆ Μανασσῆς
Matt 1:10 N- ----NSM- Μανασσῆς Μανασσῆς Μανασσῆς Μανασσῆς
Matt 1:10 C- -------- δὲ δὲ δέ δέ
Matt 1:10 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:10 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:10 N- ----ASM- ⸂Ἀμώς, Ἀμώς Ἀμώς Ἀμώς
Matt 1:10 N- ----NSM- Ἀμὼς⸃ Ἀμὼς Ἀμώς Ἀμώς
Matt 1:10 C- -------- δὲ δὲ δέ δέ
Matt 1:10 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:10 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:10 N- ----ASM- Ἰωσίαν, Ἰωσίαν Ἰωσίαν Ἰωσίας
Matt 1:11 N- ----NSM- Ἰωσίας Ἰωσίας Ἰωσίας Ἰωσίας
Matt 1:11 C- -------- δὲ δὲ δέ δέ
Matt 1:11 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:11 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:11 N- ----ASM- Ἰεχονίαν Ἰεχονίαν Ἰεχονίαν Ἰεχονίας
Matt 1:11 C- -------- καὶ καὶ καί καί
Matt 1:11 RA ----APM- τοὺς τοὺς τούς ὁ
Matt 1:11 N- ----APM- ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
Matt 1:11 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
Matt 1:11 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
Matt 1:11 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:11 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
Matt 1:11 N- ----GSF- Βαβυλῶνος. Βαβυλῶνος Βαβυλῶνος Βαβυλών
Matt 1:12 P- -------- Μετὰ Μετὰ μετά μετά
Matt 1:12 C- -------- δὲ δὲ δέ δέ
Matt 1:12 RA ----ASF- τὴν τὴν τήν ὁ
Matt 1:12 N- ----ASF- μετοικεσίαν μετοικεσίαν μετοικεσίαν μετοικεσία
Matt 1:12 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
Matt 1:12 N- ----NSM- Ἰεχονίας Ἰεχονίας Ἰεχονίας Ἰεχονίας
Matt 1:12 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:12 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:12 N- ----ASM- Σαλαθιήλ, Σαλαθιήλ Σαλαθιήλ Σαλαθιήλ
Matt 1:12 N- ----NSM- Σαλαθιὴλ Σαλαθιὴλ Σαλαθιήλ Σαλαθιήλ
Matt 1:12 C- -------- δὲ δὲ δέ δέ
Matt 1:12 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:12 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:12 N- ----ASM- Ζοροβαβέλ, Ζοροβαβέλ Ζοροβαβέλ Ζοροβαβέλ
Matt 1:13 N- ----NSM- Ζοροβαβὲλ Ζοροβαβὲλ Ζοροβαβέλ Ζοροβαβέλ
Matt 1:13 C- -------- δὲ δὲ δέ δέ
Matt 1:13 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:13 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:13 N- ----ASM- Ἀβιούδ, Ἀβιούδ Ἀβιούδ Ἀβιούδ
Matt 1:13 N- ----NSM- Ἀβιοὺδ Ἀβιοὺδ Ἀβιούδ Ἀβιούδ
Matt 1:13 C- -------- δὲ δὲ δέ δέ
Matt 1:13 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:13 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:13 N- ----ASM- Ἐλιακίμ, Ἐλιακίμ Ἐλιακίμ Ἐλιακίμ
Matt 1:13 N- ----NSM- Ἐλιακὶμ Ἐλιακὶμ Ἐλιακίμ Ἐλιακίμ
Matt 1:13 C- -------- δὲ δὲ δέ δέ
Matt 1:13 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:13 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:13 N- ----ASM- Ἀζώρ, Ἀζώρ Ἀζώρ Ἀζώρ
Matt 1:14 N- ----NSM- Ἀζὼρ Ἀζὼρ Ἀζώρ Ἀζώρ
Matt 1:14 C- -------- δὲ δὲ δέ δέ
Matt 1:14 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:14 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:14 N- ----ASM- Σαδώκ, Σαδώκ Σαδώκ Σαδώκ
Matt 1:14 N- ----NSM- Σαδὼκ Σαδὼκ Σαδώκ Σαδώκ
Matt 1:14 C- -------- δὲ δὲ δέ δέ
Matt 1:14 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:14 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:14 N- ----ASM- Ἀχίμ, Ἀχίμ Ἀχίμ Ἀχίμ
Matt 1:14 N- ----NSM- Ἀχὶμ Ἀχὶμ Ἀχίμ Ἀχίμ
Matt 1:14 C- -------- δὲ δὲ δέ δέ
Matt 1:14 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:14 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:14 N- ----ASM- Ἐλιούδ, Ἐλιούδ Ἐλιούδ Ἐλιούδ
